Canton,Min_Lat,Max_Lat,Min_Lon,Max_Lon
Canton de Vaud,46.1870679,46.9867207,6.0638578,7.2491896
Genève,46.1777724,46.231885,6.1102411,6.1758527
Canton de Fribourg,46.437907,47.0068036,6.7423106,7.3802681
Canton de Berne,46.3265189,47.3453097,6.8614832,8.4551574
Canton du Valais,-30.0208351,-30.0203335,-51.1496295,-51.1481705
Neuchâtel,46.977838,47.063822,6.8451454,6.9917755
Jura,46.2610184,47.3057621,5.2520162,6.2073939
Kanton Solothurn,47.074342,47.5026958,7.3404127,8.0313669
Kanton Basel-Landschaft,47.3378823,47.5643693,7.3252806,7.9618317
Kanton Basel-Stadt,47.519294,47.6009181,7.5546608,7.6938018
Kanton Aargau,47.1374801,47.6211124,7.7134685,8.4550999
Kanton Luzern,46.7749903,47.2871939,7.8364131,8.5140537
Kanton Nidwalden,46.7715167,47.0199551,8.2180924,8.5749457
Kanton Obwalden,46.7531719,46.9804532,8.0421959,8.5068781
Kanton Zug,47.0810323,47.2483758,8.3948352,8.7011586
Kanton Uri,46.5276306,46.9934091,8.3973573,8.9578008
Kanton Schwyz,46.885294,47.2225672,8.3887412,9.0047149
Ticino,45.8179579,46.6324883,8.3820408,9.1597023
Kanton Graubünden,46.1691798,47.0651482,8.6510632,10.4922941
Kanton St. Gallen,46.8728865,47.5472144,8.7956118,9.6741357
Kanton Zürich,47.1594376,47.6944722,8.3576804,8.9849407
Kanton Schaffhausen,47.5523654,47.8084544,8.404648,8.8762154
Kanton Thurgau,47.375917,47.6954269,8.6679731,9.502768
Kanton Glarus,46.796471,47.1739901,8.8712284,9.2525772
Kanton Appenzell Ausserrhoden,47.2470247,47.4690487,9.1910895,9.6309631
Kanton Appenzell Innerrhoden,47.2339966,47.4436942,9.3097134,9.6183988
