Canton,Canton_count,Migros_count,Proportion_Migros
Canton de Vaud,135,29,21.48148148148148
Canton du Valais,17,4,23.52941176470588
Genève,50,13,26.0
Canton de Berne,268,45,16.791044776119403
Canton de Fribourg,63,7,11.11111111111111
Kanton Solothurn,59,17,28.8135593220339
Neuchâtel,17,4,23.52941176470588
Jura,9,1,11.11111111111111
Kanton Basel-Stadt,57,17,29.82456140350877
Kanton Basel-Landschaft,73,22,30.136986301369863
Kanton Aargau,0,0,0.0
Kanton Zürich,543,113,20.810313075506446
Kanton Glarus,14,3,21.428571428571427
Kanton Schaffhausen,0,0,0.0
Kanton Appenzell Ausserrhoden,29,8,27.586206896551722
Kanton Appenzell Innerrhoden,10,1,10.0
Kanton St. Gallen,190,41,21.578947368421055
Kanton Graubünden,62,5,8.064516129032258
Kanton Thurgau,84,22,26.190476190476193
Kanton Luzern,193,41,21.243523316062177
Kanton Uri,23,4,17.391304347826086
Kanton Schwyz,62,12,19.35483870967742
Kanton Obwalden,31,5,16.129032258064516
Kanton Nidwalden,34,6,17.647058823529413
Kanton Zug,35,10,28.57142857142857
Ticino,74,9,12.162162162162163
