Canton,Population_count,Migros_count,Potential_customer by shop
Canton de Vaud,845870,29,29167.931034482757
Canton du Valais,365844,4,91461.0
Genève,524410,13,40339.230769230766
Canton de Berne,1063533,45,23634.066666666666
Canton de Fribourg,341537,7,48791.0
Kanton Solothurn,286844,17,16873.176470588234
Neuchâtel,178291,4,44572.75
Jura,74548,1,74548.0
Kanton Basel-Stadt,200031,17,11766.529411764706
Kanton Basel-Landschaft,298837,22,13583.5
Kanton Aargau,726894,0,
Kanton Zürich,1605508,113,14208.035398230088
Kanton Glarus,42056,3,14018.666666666666
Kanton Schaffhausen,87111,0,
Kanton Appenzell Ausserrhoden,56495,8,7061.875
Kanton Appenzell Innerrhoden,16585,1,16585.0
Kanton St. Gallen,535114,41,13051.560975609756
Kanton Graubünden,204888,5,40977.6
Kanton Thurgau,295220,22,13419.09090909091
Kanton Luzern,432744,41,10554.731707317073
Kanton Uri,37931,4,9482.75
Kanton Schwyz,167403,12,13950.25
Kanton Obwalden,39272,5,7854.4
Kanton Nidwalden,45016,6,7502.666666666667
Kanton Zug,132556,10,13255.6
Ticino,357720,9,39746.666666666664
